S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
8	16	8	16	12	5.65685	24	1.39216	0.434685	0.913421	0.677034	3.39048	4.71385	4.05216	0.935764	0.949988	84.5872	
11	11	11	11	11	0	22	-0.295289	-0.0810754	-0.188182	0.151472	3.12381	2.81231	2.96806	0.220265	0.843148	18.6821	
32	8	31	7	20	16.9706	39	-0.675772	0.967432	0.14583	1.16192	8.26667	2.74154	5.5041	3.90686	0.969041	153.315	
28	13	28	13	20.5	10.6066	41	-0.149194	-0.00366856	-0.0764311	0.102902	8.30476	3.40308	5.85392	3.46601	0.976054	216.213	
22	10	22	10	16	8.48528	32	-1.15238	0.704376	-0.224003	1.31293	4.87619	3.18462	4.0304	1.19612	0.959597	94.0641	
43	26	41	24	34.5	12.0208	67	-0.266888	0.657519	0.195315	0.653654	12.4	8.03385	10.2169	3.08734	0.966316	285.587	
5	0	5	0	2.5	3.53553	5	-0.61551	0	-0.307755	0.435231	1.25714	0	0.628571	0.888934	0.991918	56	
28	29	25	26	28.5	0.707107	54	-0.464449	-0.370064	-0.417257	0.0667406	7.65714	6.84	7.24857	0.577807	0.876315	57.7769	
13	15	13	15	14	1.41421	28	-0.672507	-1.95781	-1.31516	0.908849	3.31429	1.71385	2.51407	1.13168	0.987251	179.69	
19	27	18	26	23	5.65685	45	-0.249656	-0.607748	-0.428702	0.253209	5.48571	5.90769	5.6967	0.298384	0.989291	537.436	
5	8	5	8	6.5	2.12132	13	-0.155875	-0.227721	-0.191798	0.0508027	1.46667	1.94462	1.70564	0.337961	0.982005	98.4667	
9	5	9	5	7	2.82843	14	0.353134	0.753012	0.553073	0.282756	3.02857	1.65846	2.34352	0.968814	0.962889	58.1154	
4	30	4	30	17	18.3848	34	-0.177916	-0.498295	-0.338105	0.226542	1.1619	6.80615	3.98403	3.99109	0.935509	73.4051	
9	49	7	47	29	28.2843	56	-0.162946	0.299886	0.0684699	0.327272	2.64762	13.8492	8.24842	7.92074	0.972271	353.018	
3	41	2	40	22	26.8701	43	1.44695	-0.674034	0.386456	1.49976	1.37143	8.83077	5.1011	5.27455	0.990119	621.792	
22	47	20	45	34.5	17.6777	67	1.25195	2.34505	1.7985	0.772939	8.81905	19.8954	14.3572	7.83215	0.964553	447.7	
19	123	17	121	71	73.5391	140	-0.103391	-2.29346	-1.19843	1.54862	5.69524	13.4215	9.55839	5.46332	0.975858	440.087	
